Strain	Code
Diatom;Nitzschia;Nitzschia pusilla;NI152A;HF675110;	NI152A
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;HF675111;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;HF675112;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;HF675113;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;HF675114;	NITZ-03
Diatom;Nitzschia;Nitzschia soratensis;NITZ-03;HF675115;	NITZ-03
Diatom;Nitzschia;Nitzschia;NI9999;HF675116;	NI9999
Diatom;Tryblionella;Tryblionella;TF9999;HF675117;	TF9999
Diatom;Nitzschia;Nitzschia amphibia;NI014A;HF675118;	NI014A
Diatom;Nitzschia;Nitzschia pusilla;NI152A;HF675119;	NI152A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675120;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675121;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675122;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675123;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675124;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675125;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675126;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675127;	NI009A
Diatom;Nitzschia;Nitzschia palea;NI009A;HF675128;	NI009A
Diatom;Nitzschia;Nitzschia dubiiformis;NITZ-07;AB430696;	NITZ-07
Diatom;Nitzschia;Nitzschia filiformis;NI098A;HQ912453;	NI098A
Diatom;Nitzschia;Nitzschia filiformis;NI098A;HQ912453;	NI098A
Diatom;Nitzschia;Nitzschia sigmoidea;NI046A;FN557033;	NI046A
Diatom;Nitzschia;Nitzschia capitellata;NI028A;FN557030;	NI028A
Diatom;Nitzschia;Nitzschia capitellata;NI028A;FN557031;	NI028A
Diatom;Nitzschia;Nitzschia capitellata;NI028A;FN557032;	NI028A
Diatom;Pinnularia;Pinnularia termitina;PI164A;HQ912465;	PI164A
Diatom;Pinnularia;Pinnularia neomajor;PINN-05;KM084987;	PINN-05
Diatom;Pinnularia;Pinnularia neomajor;PINN-05;KM084989;	PINN-05
Diatom;Pinnularia;Pinnularia viridiformis;PINN-16;KM084988;	PINN-16
Diatom;Pinnularia;Pinnularia karelica;PINN-09;KM350025;	PINN-09
Diatom;Pinnularia;Pinnularia karelica;PINN-09;KM350026;	PINN-09
Diatom;Pinnularia;Pinnularia parvulissima;PINN-10;KM349982;	PINN-10
Diatom;Pinnularia;Pinnularia parvulissima;PINN-10;KM349988;	PINN-10
Diatom;Pinnularia;Pinnularia parvulissima;PINN-10;KM350001;	PINN-10
Diatom;Pinnularia;Pinnularia acrosphaeria;PINN-06;KM349970;	PINN-06
Diatom;Pinnularia;Pinnularia acrosphaeria;PINN-06;KM350023;	PINN-06
Diatom;Pinnularia;Pinnularia acrosphaeria;PINN-06;KM350027;	PINN-06
Diatom;Pinnularia;Pinnularia brebissonii;PI048A;HQ912468;	PI048A
